ID,Review
49,"For High Cholesterol 							""Switched from Lovastatin to Atorvastatin with Gemfibrozil, resulting in much better numbers and no side effects."""
175,"For High Cholesterol 							""After a single bypass I was put on Atonvastatin in end of May.  My first blood test after being on the drug was total= 147,   HDL 56,  LDL 70  and tri glycerides 106.  I went on vacation and did not take the drug for 3 to 4 weeks - also not the best eating habits on vacation - but felt good. Then had my second test and went up total 220 - HDL 66 ,  LDL 133, and tri 103. Dr said to get back on the med. I only take 10mg a day but I always feel tired now that I am back on. What I don't like is my Dr says they want my LDL down to 50 ?? To put thing in perspective - my test 9 month before surgery was total 212, HDL 57 LDL 143 tri 62 - also I am 68 and had been very active."""
303,"For High Cholesterol 							""I live in Australia. I am 74. On 29th January had a cardiac stent in left circumflex artery. I was on Crestor 10mg daily, Prior to procedure I had no symptoms, went to gym for an hour 3-4 times a week. After successful procedure at the hospital my meds were changed including changing Crestor to 80 mg Atrovastatin daily. As I was walking out of the hospital I felt a little breathless. So went to the emegency dept at local hospital. Nothing much was done there. My wife told me that my skin colour was strange and yellowish. When discharged, because of the coincidence between feeling unwell and change in medication, and as I could not see a doctor straight away I took myself off the new meds and reverted back to the old one and went to see a dr the next day. He told me I did the right thing. Now, after taking Atrovastatin for four days and not having it for the past four days, I feel fit but still a bit tired,  but people at work still comment about my yellowish skin colour."""
198,"For High Cholesterol, Familial Heterozygous 							""This drug does lower cholesterol levels. My high levels are genetic and I have stents from a heart attack at age 64. I'm 68 now and changing my diet has helped me feel better and lose weight, but I just can't take Lipitor for my higher than normal levels. The problem is the side affects. I suffer with allergies which cause me to cough and sneeze. I also have previously suffered with colitis which still acts up. I've been told that the drug is not related, but I've tried it for periods of about 3 to 5 months to get cholesterol levels in check. It works, but every time I take it I feel listless and depressed. Worst of all when I sneeze or cough from allergies I suffer anal leakage. When I stop it, I'm okay. It's just not worth it."""
351,"Lipitor (atorvastatin) for High Cholesterol 							""My cardiologist took me off Lipitor 2 weeks ago-my cholesterol is great after being on a low carb diet. Previously my body was covered in bruises at all times which I had attributed to other medicines(Plavix and aspirin) I Just realized I am bruise free for the first time in over a year. Conclusion: it was the Lipitor causing the problem. """
324,"Lipitor (atorvastatin) for High Cholesterol 							""43 year old male been on 20mg lipitor for 3 months, alot of side effects for first month mainly muscle spasms and uneasy stomach. Cholesterol went from 240 to 120, cut dose in half, and no more side effects."""
136,"For High Cholesterol 							""During the course of 6 weeks of taking Atorvastatin I immediately experienced the feeling that you're on drugs, extreme fatigue that lasted 5-6 hours upon waking, some increased libido, beginning at week 4 moderate sciatia in lower torso and interrupted sleep. Decided to stop sugar and lose weight instead of taking cholesterol meds. Also, requested from library: Pure, White and Deadly."""
294,"For High Cholesterol 							""I was only on this med for about 6 weeks when I finally figured out it was causing severe joint pain in my knees and feet. Stopped taking it and the pain went away after one day. Also caused diahrea. I'm going to try lowering my cholesterol with diet and exersize. Too many risks of side effects with statins."""
352,"Lipitor (atorvastatin) for Prevention of Cardiovascular Disease 							""This drug is the absolute worst in the world for me. I have been on it for five years or more and being in excruciating pain for three of those years. I have been on Tylenol three, Codiene contin and hydromorphone and the doctor argued every time when I went in to get more pain meds. My legs have been in unbelievable pain for so long I can't honestly think of the time when I was not in pain. I just started reading about this and stopped taking Lipitor and told the doctor that I would never go back on it again. In about a month I have started to feel better but I am left with weak legs and a huge bill from the chiropractor, massage therapist, acupuncturist, exercise therapist and naturopathic doctor. I have had three trips to the hospital emergency department with no help in the long run. I am very very angry. I hope my lingering pain goes away soon."""
200,"Lipitor (atorvastatin) for High Cholesterol 							""I haven't been on this medication very long but so far, the only adverse side effects I have had are insomnia, occasionally racing heart, and nightmares. Yes you heard right, I dunno why but this med gives me higher than usual nightmares. "
105,"Lipitor (atorvastatin) for High Cholesterol 							""Works well at lowering lipids when combined with Niaspan. Had to discontinue because of cognitive disorders and severe muscle pain. No rhabdo, however."""
286,"For High Cholesterol 							""I am so happy to see that it’s just not me having a bad experience with this drug atorvastatin. My LDL in March was 201. This was the only abnormal lab result. She put me on 10mg of Atorvastatin, daily. I asked of side effects and after the first day I had indescribable deep muscle pain. At first I thought I was getting another round of Shingles! I of course stopped taking it but adhered to the Plant based diet. In preparation of this mornings f/u bloodwork I took another yesterday with supper. Needless to say up all night with abdominal cramps, stomach pain, loose stools and nausea! So mad I called the Doctors office and cancelled my appointment! Never again!"""
317,"Lipitor (atorvastatin) for High Cholesterol 							""I started taking generic lipitor in February/March  2017. My lab work came back and total cholesterol was 311. At first I started taking 20mg a day. By the 9th day I was an emotional mess. Anxiety,  anger, confusion, leg pain, stomach pain and heartburn. I decided to take the 20mg  every other day. All the side effects disappeared. Works great.  I heard back from my Dr who says to continue the every other day dosage because its working and its tolerable for me."""
141,"For High Cholesterol 							""They put me on 80mg it's been a year now  my stomach been bad. Keep looking for a toilet feeling bloated it didn't give me pains in my arms or legs. Today I thought after being on them a year and been to the toilet like 100 times let me check the reviews on my tablets to see what is causing me these problems then I came across your review letting me understand these tablet are causing me IBF."""
376,"Lipitor (atorvastatin) for High Cholesterol 							""I'm 58 always kept in shape and ate well but LDL was still elevated. I'm not sure if it's coincidental but I have more energy, better in bed and have not had an a-fibrilation episode since I've been on 10mg daily.  I know it sounds like a commercial but that has been my experience. My main or larger arteries are clear of plaque but I may have had blocking of the smaller ones and the Lipitor may have helped clear them. Or I'm just lucky."""
161,"For High Cholesterol 							""Difficulty commencing in meds, but eventually settled down. I have been on this medication, for 12 months, after 2 months developed neuropathy, but it wasn't considered that this may be the cause. This week after being on it for 12 months, the GP has stopped it to see if there are any change to symptoms. What I would like to know if anyone has any experience of withdrawal effects from this as I feel dreadful after being off it 5 days. Legs are like jelly, wobbly, nausea, headache, and extremely tired."""
263,"For High Cholesterol 							""My doctor prescribed me this medicine, 10mg once a day, for high cholesterol and triglycerides."
84,"Lipitor (atorvastatin) for High Cholesterol 							""I too am taking lipitor. But my problem is how they change the shape and color.  Now they are giving me peach and oval shape ones. I would like to know if anybody has these kind before."""
280,"For High Cholesterol 							""Dad died of heart attack three years ago.  Then two years later my brother had heart attack from blockage and almost died. My cholesterol is 512. Been taking this statin about 3 weeks. I'm miserable. Leg pain/ cramps. Pain down both arms but mainly left one. Totally weak all over. Lower leg pain both sides. Tight chest every night. Heat pounds all the time now. Barely can sleep a couple hours a night if I'm lucky. Sour stomach every night have to take antacids at bedtime. Can't function during the day. I gotta go see my Doc now that I know this med is the cause. 43 year old fairly active, average weight male."""
337,"For High Cholesterol 							""I have only been taking this medicine for 1 month, 10 mg every other day.  Already I am experiencing severe joint and muscle pain.  This has happened to me every time I have taken statin drugs. I will be going back to my doctors to discuss further and look for an alternative."""
65,"Lipitor (atorvastatin) for High Cholesterol, Familial Heterozygous 							""Its good."""
99,"For High Cholesterol 							""Since being on atorvastatin I have had a cold, wheezing, asthma, short of breath and also peeing more often"""
248,"Lipitor (atorvastatin) for High Cholesterol 							""Have been taking 10 mg for about 2 years, doctor recently increased to 50 mg, my legs are cramping up and are sore from where they have cramped. I am going to doctor tomorrow to see if dose can be reduced."""
229,"For High Cholesterol 							""I've been taking Atorvastatin for a couple of weeks now,,,HATE IT AND WILL STOP TODAY!!.I have a cough and stuffy nose (side effect) tight chest, tired all the time, muscle cramps, off and on diarrhea, sore throat, no need to say anymore. I've been put on several different kinds of meds for high cholesterol and they all have side effects that I can't deal with. It's sad but every Dr I've had has wanted to put me on these meds that make me sick. I'm gonna find foods that may help"""
378,"Lipitor (atorvastatin) for Prevention of Cardiovascular Disease 							""My experience with this drug was not very good. I was prescribed 10 mg 1 tablet to be taken per day. I was healthy with normal blood pressure and walked and exercised probably 4 miles per day and was generally fit and healthy. I was unable to take the tablet every day and ended up having to skip days because of the side effects. On day 3 it gave me a dizzy feeling and a sense of anger like wanting to snap at someone for no reason. Day 4 was a spacey feeling like floating and generally feeling like no desire to want to do anything. Went out for a walk got the most terrible muscle cramps in the calves which came and went. Also a panic anxiety feeling that lasted about a minute which felt like I was going to die and a general feeling of not being well. Then the doctor said take it every other day and this was causing me insomnia where I would sleep for a hour then be awake for 4 hours trying to sleep . Also very low sex drive and a feeling like I was being poisoned. Eventually came off it"""
290,"For High Cholesterol 							""Been taking this drug for 4 yrs now after experiencing a TIA followed by emergency carotid endarterectomy, cholesterol levels are good and have not experienced any side effects at all , all annual blood tests have been all ok ."""
110,"Lipitor (atorvastatin) for High Cholesterol 							""Severe leg cramps, joint pain, dizziness, my cholesterol is never been over 200, have always walked, biked, eating right. This med has really messed my body up!!!"""
62,"For High Cholesterol 							""After taking this medication I had a hard time swallowing and breathing. My tongue, lips and eyes were burning.I was not feeling well.  I have not had this experience with other manufacturers."""
13,"Lipitor (atorvastatin) for High Cholesterol 							""Here is the trouble with these sites - the skew towards horror stories.  There is also a handful who claim that statins are ""poison"" and ""should be taken off the market"".  This is, clearly, an overreaction by those who have the adverse reaction, which - despite what you would think from reading these reviews - are very low frequency events.  Statins are probably as close to a wonder drug as modern pharmacology has ever gotten.  Yes, there are those who are intolerant, allergic, or simply confused as to the genesis of their symptoms.  The truth is, statins work for the vast majority of people taking them, and they work well.  Having said this, I am also perplexed as to why some folks in their later 70s or even 80s are taking them?"""
165,"For High Cholesterol 							""This drug is like a slow poison, after few days of taking it, started to feel pain in my fingers, talked to my doctor and they said I can continue the ""medication"", slowly other side effects started to develop, low energy, tiredness, dizziness, confusion, panic attacks, anxiety, and general feeling of awfulness. I messaged my doctor last night and stopped the medication without their approval, I will never take it again."""
28,"For High Cholesterol 							""Wish I could rate this a zero. After only 3 days on atorvastatin 20mg I experienced constant headache, muscle pain and weakness, dizziness, couldn't sleep, tingling in the arms and legs and ringing in the ears."
213,"For High Cholesterol 							""I'm leaving a positive review because I want others to know that statins don't always have bad side effects. I've been on atorvastatin for about 3 months now. I never got the muscle aches or any other side effects. I do take CoQ10 since this is the supplement that is recommended to combat muscle aches. The best thing is, my cholesterol went down and my doctor is pleased."""
41,"Lipitor (atorvastatin) for High Cholesterol 							""I have taken this for 8 years but it makes me feel like a zombie. And it affects my memory and motor skills. I recently went back to work and had to quit the lipitor because it affected my ability to work. Don't know what I will try next. Started on Crestor 9 years ago and couldn't stand the pain in my legs."""
231,"For High Cholesterol 							""First I was on Simvastatin, then I had a Dr. change and he put me on Atorvastatin, my blood sugar levels went up for no reason, then I started having cramps, told the Dr. and he said just watch my diet. So I did, the cramps were almost every day and getting me very upset. So called the Dr. again. He finally told me to stop the meds for 14 days and then start again. The cramps went away until I started taking them again. Don't know what the Dr. will do next."""
308,"For High Cholesterol 							""Been on atorvastin for about 3 -4 weeks the first couple of weeks felt very fuzzy and light headed eyes wouldn’t focus additionally had sharp stabbing pain in my back. Stopped taking them for a week then started again now I’m getting chest tightness aches around chest and back plus heart pounding all the time esp at night which is messing with my sleep ( haven’t slept much at all since taking this drug come to think of it) "
101,"For High Cholesterol 							""Atorvastatin lowered my cholesterol but the leg pain I had was unbearable. I went off it because of my legs hurting enough that it was interfering with my day to day life."""
321,"Lipitor (atorvastatin) for High Cholesterol 							""I am 65 and active, to include hiking, walking in the gym yard work, etc.. Been on 10 mg of Lipitor or generic for 20 years.  Within the past 2 years I have experienced increased lower leg discomfort and within the past year what appears to be lower leg muscle loss, chronic plantar fascia, leg muscle tingling, and a feeling of weakness in my lower legs.  My primary care doc, who is Lipitor intolerant, attributed it all to age, cervicle stenosis, etc.  Have quit Lipitor and Prylosec (been on this for 10 years) and will readdress with my doctor (who's an internal medicine doctor) when I can get in to see him again in 3 weeks.  Some remediation of mental fogginess which has plagued me recently, but to date no releaf on leg issues."""
358,"For High Cholesterol 							""On it for 6 years. Adverse affects sneak up on you. It makes you old before your time. I had neuropathy in feet and finally in hands, pain in neck and legs. I dragged my feet when I walked, finally my mind was so foggy I couldn't remember what I saw the instant before or remember what I read . I would fall asleep in a instant after sitting down. My wife wouldn't let me drive except in the neighborhood for fear I would doze off- (I wonder how many 'old' people have caused auto accidents because of statins). I could not do simple arithmetic. I am off of it as of 2 months ago and am slowly improving.  This stuff is poison and should be taken off the market. I rate it 0."""
7,"For High Cholesterol 							""Been taking 10 mg for 6 months? Edema in legs and feet so sore I can barely walk. Had this similar reactions s couple years ago, and all symptoms went away quickly when I stopped meds. Statins sneak up slowly on me, side effects took some time to develop, but I finally figured it out. Within 2 days of stopping statin my edema went away, and much of the foot pain. Been 5 days now and hoping there is no permanent damage. This is bad for my body IMO, so don't wait for your doctors to admit this drug might be the problem. I suspect the incidence of bad effects is way under reported."""
94,"Lipitor (atorvastatin) for High Cholesterol 							""Many side effects. Such as muscle pain, weakness, tenderness, gas, blurred vision."""
66,"Lipitor (atorvastatin) for Prevention of Cardiovascular Disease 							""I have taken Lipitor for over two years. HDL are 76 total cholesterol is 147. Appears to be working properly. Have full blood tests every six months."""
243,"For High Cholesterol 							""I was given 10 mg atorvasatin by my doctor who say my cholesterol  was high, took them for 2 months now, I felt sweaty on my neck and backache . Didn't know what causes all these symptoms . I'm  56 yrs old, came into this forum to check the side effect of satin, now I know after reading similar stories, I also have chills at night too. Going to see my Gp soon whether to stop taking them atorvasatin. Going to try natural  ways for my well being ,"""
92,"Lipitor (atorvastatin) for High Cholesterol 							""I've been taking Lipitor for over 4 years-no side effects noted and my cholesterol is now 132, Trigycedrides 84, LDL 65, and HDL 50."""
42,"For High Cholesterol 							""Very good and effective"""
173,"For High Cholesterol, Familial Heterozygous 							""Took this for a few months-then developed diarrhea.  Quit the med and tried another statin-same effect.  They both lowered my cholesterol but I was not going to wear at diaper to do it!"
291,"Lipitor (atorvastatin) for Prevention of Cardiovascular Disease 							""My cholesterol has always been in the normal range, about 145, although my LDL/HDL ratio, 90/55, is not optimal. I eat healthy,  10% body fat, work out over 300 days a year. But a heart scan at 60 gave me a shock, showed a lot plaque in my LAD, not good.  Started Lipitor 10mg daily, cholesterol dropped into the 90s, with LDL of 50.  Went to 10mg/5mg alternating days, last lipid panel showed cholesterol at 114, LDL 72.   I have never had any negative side effects.   Two very athletic friends with high cholesterol  used statins but quit because of muscle pain I  third athletic friend, with cholesterol of 300,  uses a statin, cholesterol into normal range with no side effects. "
23,"For High Cholesterol 							""I was prescribed 10 mg. and started having leg, heel, hip and shoulder pain.  My doctor lowered it to 5 mg. but I still have pain.  My legs and hips hurt when I sleep.  I’ve taken 2 other statins before this one and had problems with those also.  While on one statin I couldn’t even climb a chair.  My legs were so weak."
108,"For High Cholesterol 							""I have been taking 10MG of Lipitor for about 18 years, it has worked wonderful for me no problems at all with the drug."""
354,"Lipitor (atorvastatin) for High Cholesterol 							""Lipitor plus Zetia lowered cholesteral from 300  to 200, lots of aches, pains and charley-horses in the legs especially going up and down stairs. High cholesteral prominent in the family genes. Now have nasty skin rashes red welts with itch that is a torture, dermatology, allergist and GP have no answers. I am guessing it is the statins as its the only other thing I take is a LD aspirin. """
370,"Lipitor (atorvastatin) for High Cholesterol 							""On Lipitor I developed Polyneuropathy in my left foot. Burning and electrical charge sensations. Stopped Lipitor and problem went. Took several weeks before it left my body.Everyone on Statins should be taking Co Enzyme Q10 or Ubiquinol to help prevent muscle pains. I prefer quality of life to one of pain. I am an active healthy 83 yr old with high cholesterol. """
116,"For High Cholesterol 							""Took 20mg for several years. Seemed fine. But didn’t help my cholesterol very much. Raised to 40mg and after some amount of time started getting trigger fingers and having pain in my hands. For two years I went to different docs. Nothing wrong was found. Then I ran out of drug, Dr was away and pharmacy was out of it. All this took about two weeks to get refill. By the time I got refill pain in my hands was gone!  Met with hand orthopedic and she said “never heard of that”! Wife looked it up and bang, there it was!!!"
210,"For Prevention of Cardiovascular Disease 							""Doctor put me on a 20mg dosage because I have diabetes 2. He said that my numbers are not that high but to prevent a heart attack. I been taking them for three days and I'm feeling depressed my legs feel heavy the back of my neck is killing me . I wake up with my left hand numb. I really don't know what should I do."""
